2、您双十一购物了吗？,3、双十一前您的预期花费？,4、双十一您的实际花费？,5、您购买物品的品类？,6、您为谁购物？,7、双十一您在哪购物？,8、您有没有为了折扣参与“盖楼”、“砍价”等转发活动？,9、双十一您有没有使用花呗、白条或信用卡支付？,10、您对双十一购物节的看法？,11、您的性别：,12、您的年龄：,13、您目前从事的职业：,14、您的个人月收入？,15、请选择省份城市与地区:
购物了,2000~5000元,10000元以上,家用电器┋美妆个护┋服饰鞋靴,自己┋父母,淘宝（天猫）┋京东┋商场,没有,没有,薅到爽到，支持！,女,31~35岁,教师,20000元以上,北京-北京市-朝阳区
购物了,2000~5000元,500元以下,图书文娱,自己,京东,没有,没有,其他〖多余〗,男,40岁以上,教师,20000元以上,北京-北京市-海淀区
购物了,500~2000元,500~2000元,手机数码┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）┋苏宁,没有,有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,江苏-南京市-浦口区
购物了,500~2000元,500~2000元,美妆个护┋食品生鲜,自己┋父母,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,其他,3000元以下,北京-北京市-海淀区
购物了,500元以下,500元以下,服饰鞋靴,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,山东-济宁市-曲阜市
购物了,500元以下,500元以下,图书文娱,自己,京东,没有,有,静待霉霉，与我无瓜~,男,31~35岁,生产人员,10000~20000元,广东-东莞市
购物了,500元以下,500~2000元,手机数码┋服饰鞋靴┋食品生鲜,自己,淘宝（天猫）,没有,有,其他〖今年算是理性消费，个人很满意〗,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,女,18岁以下,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,2000~5000元,电脑办公┋其他〖医疗保健〗,自己┋父母┋其他亲朋好友,淘宝（天猫）┋拼多多,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,江苏-南京市-雨花台区
购物了,500~2000元,500~2000元,家居百货┋其他〖宝宝的尿不湿和睡袋 玩具〗,自己┋其他〖孩子〗,淘宝（天猫）,没有,有,其他〖趁着活动屯货〗,女,31~35岁,行政/后勤人员,3000~5000元,陕西-西安市-未央区
购物了,2000~5000元,2000~5000元,美妆个护┋服饰鞋靴,自己┋恋人或伴侣,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,女,26~30岁,技术/研发人员,5000~10000元,广东-珠海市-香洲区
